ID_Cliente;Idade;Sexo;Nacionalidade;Estado_Origem;Viaja_Com;Renda_Presumida;Fidelidade
57;69;M;BR;AM;Sozinho;53.14;Bronze
58;26;M;BR;DF;Amigos;17.69;Prata
59;23;M;BR;ES;Sozinho;30.31;Bronze
60;52;M;BR;MT;Sozinho;8.44;Prata
61;62;M;BR;AM;Casal;7.32;Bronze
62;23;F;BR;SC;Casal;18.97;Prata
63;77;M;BR;GO;Sozinho;52.14;Bronze
64;37;F;BR;PI;Familia;8.08;Bronze
65;30;M;BR;GO;Familia;25.65;Bronze
66;32;M;BR;BA;Amigos;13.92;Bronze
67;77;F;BR;RN;Familia;11.6;Ouro
68;34;M;BR;PB;Casal;78.48;Bronze
69;45;M;BR;AL;Familia;36.26;Bronze
70;56;F;BR;PE;Familia;13.11;Bronze
71;42;F;US;ES;Casal;64.35;Prata
72;50;F;BR;GO;Sozinho;14.73;Bronze
73;61;M;BR;ES;Familia;67.32;Prata
74;23;F;BR;RR;Sozinho;18.05;Ouro
75;28;M;BR;AM;Familia;25.04;Bronze
76;30;M;CL;MG;Casal;48.99;Bronze
77;40;M;BR;AL;Casal;7.19;Prata
78;30;F;BR;MA;Familia;53.72;Prata
79;74;M;BR;PB;Sozinho;15.18;Bronze
80;59;M;PE;MG;Familia;9.02;Bronze
81;36;M;PT;PA;Familia;12.63;Bronze
82;68;F;PE;MA;Amigos;37.12;Bronze
83;36;M;CL;BA;Sozinho;10.42;Prata
84;75;M;PT;PB;Sozinho;29.05;Bronze
85;64;M;BR;BA;Amigos;32.21;Bronze
86;76;M;PE;PI;Casal;32.17;Ouro
87;41;F;AR;AM;Amigos;11.25;Bronze
88;39;F;BR;SP;Familia;28.81;Bronze
89;25;F;BR;SE;Sozinho;35.77;Prata
90;35;M;BR;GO;Casal;53.19;Bronze
91;77;M;CO;MT;Casal;22.23;Prata
92;18;F;US;PR;Sozinho;10.78;Bronze
93;44;M;BR;TO;Amigos;11.98;Bronze
94;62;M;BR;RR;Familia;13.18;Bronze
95;75;F;PE;PR;Familia;7.97;Bronze
96;32;M;BR;SC;Sozinho;48.03;Ouro
97;44;F;BR;AC;Familia;18.22;Prata
98;61;M;PE;SP;Casal;28.17;Bronze
99;48;M;US;DF;Familia;14.63;Prata
100;53;F;BR;RN;Casal;46.97;Ouro
101;50;F;BR;RJ;Casal;5.27;Bronze
102;21;M;BR;MA;Casal;14.05;Prata
103;18;M;BR;PR;Sozinho;25.88;Prata
104;24;M;BR;RN;Sozinho;13.62;Prata
105;20;F;BR;RN;Familia;6.14;Prata
106;67;F;BR;AL;Casal;33.29;Prata
107;77;F;CL;ES;Casal;41.39;Bronze
108;78;F;BR;PA;Sozinho;3.71;Bronze
109;62;F;BR;PR;Familia;19.5;Bronze
110;55;F;BR;CE;Casal;32.57;Bronze
111;26;F;BR;AM;Sozinho;60.33;Bronze
112;61;F;BR;PA;Sozinho;38.66;Prata
113;40;F;BR;RJ;Casal;33.99;Bronze
114;39;F;BR;PA;Sozinho;15.54;Bronze
115;19;F;BR;MA;Amigos;21.47;Bronze
116;50;F;CO;PA;Familia;26.73;Bronze
117;23;M;BR;AP;Amigos;9.31;Prata
118;77;F;PT;AP;Sozinho;14.53;Prata
119;58;F;BR;MT;Familia;89.37;Prata
120;68;M;BR;GO;Sozinho;10.44;Bronze
121;75;F;BR;TO;Familia;38.52;Bronze
122;38;F;BR;PI;Amigos;12.89;Bronze
123;25;F;BR;BA;Casal;42.75;Bronze
124;75;F;US;SP;Sozinho;19.92;Prata
125;23;F;PE;MA;Casal;36.99;Bronze
126;63;F;BR;GO;Amigos;47.87;Ouro
127;36;F;BR;PA;Familia;37.35;Prata
128;70;F;BR;RR;Casal;14.22;Bronze
129;26;F;AR;BA;Casal;19.22;Bronze
130;29;F;BR;AM;Sozinho;32.42;Bronze
131;36;F;BR;PR;Sozinho;27.08;Bronze
132;23;F;BR;BA;Familia;12.92;Bronze
133;78;M;BR;PE;Familia;40.1;Prata
134;72;M;BR;RO;Familia;13.14;Prata
135;55;F;BR;RR;Amigos;17.87;Bronze
136;27;F;PE;CE;Casal;10.62;Prata
137;62;F;CO;AL;Sozinho;5.96;Bronze
138;79;F;BR;MG;Casal;10.1;Prata
139;56;M;PE;GO;Familia;16.36;Bronze
140;19;F;US;RS;Casal;21.07;Prata
141;64;F;CL;PE;Familia;45.3;Bronze
142;43;M;BR;PR;Familia;10.86;Bronze
143;61;F;BR;SC;Casal;27.35;Prata
144;71;M;BR;SC;Casal;17.78;Prata
145;18;M;BR;AM;Familia;36.45;Bronze
146;31;F;BR;RS;Amigos;14.63;Bronze
147;26;M;BR;CE;Familia;19.48;Bronze
148;26;F;BR;DF;Familia;55.61;Bronze
149;36;M;BR;PA;Familia;16.33;Bronze
150;65;F;PE;RN;Familia;8.55;Prata
151;33;F;CL;CE;Familia;37.45;Bronze
152;44;M;BR;GO;Sozinho;47.92;Prata
153;50;F;BR;PR;Familia;58.04;Bronze
154;62;M;CL;PI;Familia;22.9;Bronze
155;68;F;BR;AP;Sozinho;29.85;Prata
156;50;F;BR;BA;Sozinho;8.06;Bronze
157;40;M;BR;MA;Familia;36.71;Bronze
158;23;F;BR;GO;Amigos;34.98;Bronze
159;37;M;BR;AP;Sozinho;20.39;Ouro
160;33;M;BR;TO;Sozinho;3.21;Bronze
161;52;F;CL;PA;Casal;18.78;Bronze
162;46;M;AR;SC;Casal;14.12;Bronze
163;25;F;BR;MS;Sozinho;22.47;Prata
164;22;F;BR;PI;Amigos;14.76;Prata
165;57;M;CO;RR;Sozinho;34.83;Bronze
166;68;M;BR;PE;Familia;15.12;Prata
167;21;F;BR;ES;Casal;29.0;Bronze
168;40;M;US;BA;Familia;13.57;Prata
169;50;F;AR;DF;Amigos;53.15;Bronze
170;71;M;BR;RO;Casal;17.66;Bronze
171;31;F;BR;RS;Casal;25.33;Prata
172;38;F;CL;MG;Casal;13.1;Prata
173;19;F;BR;PI;Sozinho;19.43;Ouro
174;43;F;US;BA;Sozinho;79.06;Bronze
175;62;F;BR;GO;Sozinho;9.8;Bronze
176;23;F;BR;TO;Familia;23.59;Bronze
177;67;F;CL;SE;Familia;11.54;Ouro
178;20;M;BR;SE;Familia;30.96;Bronze
179;37;M;BR;MG;Casal;19.69;Bronze
180;42;M;BR;PI;Familia;12.43;Prata
181;66;M;PE;PB;Casal;19.04;Bronze
182;59;M;US;PI;Casal;24.95;Bronze
183;53;M;BR;PR;Casal;36.17;Prata
184;23;M;BR;CE;Amigos;14.68;Bronze
185;69;F;BR;MT;Casal;16.02;Bronze
186;42;F;BR;RO;Casal;8.45;Bronze
187;63;M;AR;SP;Casal;13.16;Bronze
188;59;M;BR;DF;Familia;43.56;Prata
189;32;F;BR;PA;Familia;16.37;Bronze
190;37;F;US;CE;Casal;22.37;Bronze
191;79;M;BR;PI;Casal;61.33;Bronze
192;79;M;BR;PA;Familia;22.84;Bronze
193;60;F;BR;RJ;Sozinho;25.82;Ouro
194;64;M;CL;MG;Amigos;12.82;Prata
195;42;M;BR;MG;Amigos;36.16;Ouro
196;48;M;BR;ES;Familia;36.64;Bronze
197;30;F;BR;AL;Familia;34.97;Bronze
198;75;M;US;GO;Amigos;21.16;Bronze
199;29;F;BR;SP;Familia;9.95;Bronze
200;73;M;BR;RJ;Amigos;34.68;Ouro
201;54;F;BR;BA;Familia;51.5;Bronze
202;62;F;BR;CE;Sozinho;22.49;Bronze
203;43;M;BR;PR;Casal;15.79;Prata
204;58;F;BR;RS;Familia;14.58;Prata
205;43;M;BR;RR;Familia;14.86;Bronze
206;50;M;BR;MS;Sozinho;31.42;Bronze
207;51;F;BR;SP;Amigos;10.49;Bronze
208;46;M;BR;PB;Familia;24.41;Bronze
209;24;M;PE;AC;Familia;28.21;Ouro
210;72;M;BR;GO;Familia;22.9;Bronze
211;77;M;BR;AC;Familia;23.22;Bronze
212;68;F;BR;TO;Familia;27.78;Bronze
213;50;M;AR;MS;Sozinho;14.38;Prata
214;31;F;US;MG;Casal;12.65;Prata
215;55;F;BR;PR;Familia;70.03;Prata
216;41;F;BR;PR;Casal;44.42;Bronze
217;58;F;AR;BA;Casal;16.68;Bronze
218;30;F;CL;SE;Sozinho;23.58;Bronze
219;36;M;BR;AL;Sozinho;14.63;Prata
220;71;F;BR;RN;Familia;42.47;Prata
221;47;F;PE;PE;Casal;12.56;Bronze
222;72;M;BR;ES;Sozinho;19.0;Prata
223;19;F;BR;SP;Casal;12.49;Prata
224;43;M;CO;SE;Familia;23.54;Prata
225;18;M;US;AM;Familia;8.41;Prata
226;77;M;BR;RN;Casal;17.89;Bronze
227;44;F;BR;RR;Familia;38.83;Bronze
228;74;F;PT;RN;Sozinho;29.04;Bronze
229;76;M;AR;PA;Casal;22.19;Bronze
230;30;M;BR;RO;Amigos;54.37;Bronze
231;44;M;BR;MG;Sozinho;21.49;Bronze
232;41;F;BR;PB;Casal;15.73;Prata
233;78;F;BR;TO;Sozinho;31.31;Bronze
234;72;M;CL;BA;Amigos;23.93;Bronze
235;49;M;PE;AL;Amigos;7.97;Prata
236;31;M;BR;DF;Sozinho;19.79;Bronze
237;75;F;BR;SE;Sozinho;29.83;Bronze
238;71;F;PE;PB;Casal;38.35;Bronze
239;23;M;PT;AC;Casal;19.31;Bronze
240;66;M;BR;MA;Casal;16.59;Bronze
241;18;M;BR;PR;Casal;12.29;Bronze
242;28;M;BR;PI;Casal;42.93;Bronze
243;49;M;BR;TO;Casal;49.96;Prata
244;20;F;BR;ES;Casal;34.71;Bronze
245;60;M;CL;DF;Sozinho;29.4;Bronze
246;37;M;PE;MT;Familia;25.42;Ouro
247;67;M;CO;DF;Sozinho;17.52;Bronze
248;75;F;BR;TO;Amigos;11.51;Prata
249;76;M;PT;RS;Casal;42.08;Bronze
250;69;M;BR;GO;Sozinho;15.28;Bronze
251;78;F;CL;RN;Familia;16.96;Bronze
252;33;F;BR;MT;Casal;26.17;Ouro
253;71;F;BR;MG;Sozinho;13.63;Bronze
254;52;M;CL;AP;Familia;18.23;Bronze
255;61;M;BR;GO;Familia;26.31;Bronze
256;35;M;BR;PB;Familia;11.18;Bronze
257;30;F;BR;CE;Casal;17.32;Prata
258;32;M;BR;MA;Sozinho;18.97;Bronze
259;63;F;BR;RO;Casal;14.92;Bronze
260;18;M;CO;BA;Familia;5.41;Bronze
261;45;F;PE;SP;Familia;46.99;Prata
262;57;M;BR;PR;Casal;16.92;Prata
263;21;F;BR;PR;Familia;22.23;Bronze
264;35;M;BR;MT;Casal;20.68;Bronze
265;62;M;AR;TO;Casal;7.03;Bronze
266;43;M;BR;RN;Casal;40.17;Bronze
267;64;M;US;DF;Casal;8.63;Bronze
268;62;F;BR;BA;Familia;31.83;Prata
269;28;M;BR;RJ;Sozinho;6.68;Ouro
270;52;M;BR;CE;Casal;18.04;Prata
271;58;M;BR;RS;Amigos;18.22;Prata
272;34;F;CO;CE;Casal;37.37;Bronze
273;30;M;CL;RR;Casal;21.01;Ouro
274;32;F;BR;AC;Sozinho;7.34;Bronze
275;40;F;BR;AL;Casal;29.1;Ouro
276;27;F;BR;AL;Familia;38.71;Prata
277;46;F;PE;CE;Sozinho;28.09;Bronze
278;50;M;BR;GO;Casal;37.7;Ouro
279;34;M;BR;SE;Sozinho;9.55;Prata
280;79;M;BR;MS;Sozinho;23.31;Prata
281;78;F;BR;RJ;Sozinho;22.9;Prata
282;74;F;BR;SP;Familia;71.74;Bronze
283;69;F;CO;AM;Sozinho;55.95;Bronze
284;63;M;BR;AL;Familia;24.13;Bronze
285;25;M;BR;PE;Familia;20.36;Prata
286;43;F;CL;AM;Sozinho;100.39;Ouro
287;31;M;BR;GO;Casal;17.6;Prata
288;77;F;BR;CE;Casal;35.09;Bronze
289;55;F;BR;CE;Sozinho;71.98;Prata
290;61;F;PE;PA;Casal;15.24;Bronze
291;79;F;BR;PE;Amigos;15.63;Bronze
292;52;F;BR;ES;Casal;10.02;Bronze
293;58;F;BR;SE;Casal;14.66;Prata
294;23;F;BR;BA;Familia;28.97;Bronze
295;66;M;BR;RS;Familia;29.29;Bronze
296;54;M;BR;ES;Sozinho;8.55;Prata
297;24;M;BR;SP;Sozinho;12.89;Bronze
298;26;F;BR;SP;Amigos;12.81;Bronze
299;56;M;BR;AL;Familia;26.51;Bronze
300;61;M;BR;ES;Casal;5.08;Bronze
301;51;F;BR;MT;Casal;27.79;Bronze
302;51;M;BR;PA;Casal;8.54;Bronze
303;48;M;BR;RN;Casal;12.99;Ouro
304;79;F;BR;AL;Sozinho;9.27;Bronze
305;67;F;PT;CE;Sozinho;12.31;Bronze
306;18;M;BR;RJ;Familia;21.03;Ouro
307;31;M;PT;CE;Familia;30.81;Bronze
308;58;M;AR;PR;Casal;12.84;Bronze
309;67;M;BR;ES;Sozinho;14.0;Bronze
310;68;F;PT;DF;Casal;16.59;Prata
311;60;M;AR;ES;Amigos;16.15;Bronze
312;66;F;BR;RR;Casal;18.75;Prata
313;50;F;BR;AC;Casal;23.67;Prata
314;39;F;BR;RN;Sozinho;16.05;Bronze
315;31;M;BR;PI;Amigos;38.57;Bronze
316;35;F;BR;PE;Familia;18.72;Bronze
317;39;M;BR;RJ;Amigos;27.07;Prata
318;31;F;PE;PR;Sozinho;22.58;Bronze
319;52;M;BR;AP;Amigos;38.93;Ouro
320;36;M;BR;AC;Casal;43.99;Prata
321;33;M;BR;RS;Casal;12.64;Prata
322;31;M;BR;CE;Familia;28.7;Bronze
323;42;F;BR;MS;Casal;53.24;Bronze
324;33;M;US;AP;Amigos;14.66;Ouro
325;67;F;BR;DF;Casal;5.83;Bronze
326;54;F;BR;AL;Casal;10.41;Prata
327;32;M;BR;BA;Sozinho;17.93;Prata
328;71;F;BR;MS;Sozinho;41.02;Bronze
329;74;F;US;MT;Amigos;43.93;Prata
330;62;F;BR;CE;Casal;42.54;Bronze
331;71;M;BR;TO;Casal;41.32;Bronze
332;36;M;BR;RS;Casal;32.56;Bronze
333;65;F;BR;AP;Familia;57.64;Bronze
334;41;M;BR;PE;Casal;38.81;Prata
335;79;F;BR;AL;Amigos;39.15;Bronze
336;62;F;BR;PB;Casal;7.49;Prata
337;52;M;BR;SE;Sozinho;13.97;Bronze
338;43;F;BR;SP;Familia;10.68;Bronze
339;21;M;AR;RR;Sozinho;10.01;Prata
340;35;M;BR;RR;Sozinho;28.39;Bronze
341;26;M;BR;RS;Casal;19.48;Prata
342;63;F;BR;PI;Familia;5.0;Bronze
343;63;F;BR;RS;Casal;18.34;Bronze
344;32;M;CL;PB;Casal;13.75;Bronze
345;26;M;BR;PR;Casal;10.96;Bronze
346;50;F;BR;AP;Sozinho;28.84;Bronze
347;34;M;BR;ES;Casal;24.15;Bronze
348;79;F;CL;PB;Familia;30.64;Bronze
349;47;F;CL;AC;Sozinho;8.62;Bronze
350;75;M;BR;PB;Amigos;24.4;Bronze
351;24;F;PT;MA;Casal;15.48;Prata
352;68;M;BR;RO;Familia;14.15;Bronze
353;25;F;BR;MA;Casal;27.73;Bronze
354;61;M;BR;PB;Sozinho;18.46;Bronze
355;52;M;CL;SP;Sozinho;16.35;Bronze
356;41;F;BR;RO;Amigos;18.75;Bronze
357;35;M;BR;GO;Sozinho;27.14;Bronze
358;75;M;BR;SC;Casal;17.07;Prata
359;45;F;BR;RJ;Casal;32.84;Prata
360;65;F;CL;MA;Sozinho;23.3;Prata
361;62;F;BR;ES;Casal;26.61;Bronze
362;25;F;BR;MG;Familia;14.01;Bronze
363;60;F;BR;MG;Amigos;52.45;Bronze
364;29;M;BR;MA;Sozinho;33.96;Prata
365;56;F;US;ES;Familia;33.36;Bronze
366;70;F;BR;PB;Sozinho;59.67;Prata
367;21;M;PE;PI;Sozinho;10.58;Bronze
368;47;F;BR;RS;Sozinho;16.19;Prata
369;69;F;AR;CE;Amigos;16.61;Ouro
370;20;M;BR;BA;Casal;7.96;Bronze
371;64;F;AR;SP;Casal;17.82;Ouro
372;63;F;PT;CE;Sozinho;50.94;Ouro
373;44;F;BR;MA;Sozinho;47.22;Ouro
374;63;M;BR;MG;Familia;15.13;Prata
375;48;M;BR;PE;Familia;23.75;Prata
376;67;M;BR;RO;Sozinho;18.52;Bronze
377;37;F;BR;AP;Amigos;14.54;Ouro
378;55;F;BR;MT;Sozinho;27.43;Bronze
379;43;M;BR;ES;Familia;13.98;Prata
380;32;F;BR;PB;Familia;11.69;Bronze
381;34;M;BR;SE;Casal;9.71;Bronze
382;34;M;BR;PA;Sozinho;68.71;Bronze
383;21;F;BR;SC;Amigos;20.2;Prata
384;50;F;AR;CE;Casal;32.55;Bronze
385;50;F;US;GO;Sozinho;23.53;Ouro
386;34;M;CO;MA;Sozinho;22.33;Bronze
387;56;M;BR;PB;Sozinho;39.39;Prata
388;35;M;BR;MT;Familia;18.44;Prata
389;22;F;US;PR;Familia;14.51;Prata
390;32;F;BR;PE;Casal;17.43;Prata
391;51;F;BR;TO;Sozinho;16.76;Bronze
392;72;F;BR;MT;Amigos;59.81;Bronze
393;66;F;CO;MG;Casal;78.71;Bronze
394;39;F;BR;RN;Sozinho;8.44;Prata
395;61;M;CO;RR;Sozinho;9.17;Bronze
396;51;M;PE;MG;Familia;34.02;Prata
397;56;F;BR;RN;Sozinho;32.56;Bronze
398;23;F;BR;RR;Casal;23.16;Bronze
399;70;M;AR;BA;Sozinho;23.01;Bronze
400;37;F;BR;TO;Casal;51.75;Bronze
401;63;M;PE;AC;Amigos;11.37;Bronze
402;75;F;BR;GO;Casal;22.72;Bronze
403;61;F;BR;PR;Casal;10.78;Bronze
404;57;F;BR;PI;Familia;5.55;Ouro
405;23;M;BR;RN;Sozinho;33.96;Bronze
406;79;M;BR;AC;Amigos;11.27;Bronze
407;70;M;BR;RN;Sozinho;34.63;Bronze
408;42;M;BR;DF;Amigos;6.57;Bronze
409;52;M;BR;RJ;Sozinho;31.15;Bronze
410;65;F;BR;RO;Casal;11.96;Bronze
411;57;F;BR;PE;Familia;27.85;Bronze
412;37;M;BR;AC;Familia;40.07;Bronze
413;64;M;BR;MG;Casal;21.45;Bronze
414;69;F;BR;RJ;Familia;29.31;Bronze
415;55;M;BR;AM;Casal;54.05;Prata
416;71;F;BR;DF;Casal;21.98;Prata
417;60;F;BR;GO;Familia;28.91;Bronze
418;74;M;CL;PB;Sozinho;24.88;Bronze
419;21;F;BR;SP;Casal;14.37;Bronze
420;18;F;BR;MS;Familia;43.9;Bronze
421;77;F;BR;SC;Familia;35.12;Bronze
422;41;M;BR;MS;Casal;16.24;Prata
423;45;M;US;DF;Casal;12.86;Bronze
424;31;F;BR;SP;Casal;6.21;Prata
425;74;F;BR;MS;Casal;19.49;Bronze
426;75;F;BR;MG;Casal;63.16;Prata
427;46;M;BR;PI;Familia;34.07;Bronze
428;62;F;BR;MS;Familia;42.15;Bronze
429;50;M;BR;PB;Amigos;10.47;Bronze
430;18;F;BR;PR;Sozinho;44.2;Bronze
431;28;F;CL;MG;Sozinho;12.25;Prata
432;50;F;BR;MA;Sozinho;6.17;Bronze
433;52;M;BR;SP;Familia;43.06;Bronze
434;25;F;BR;AC;Familia;21.4;Bronze
435;18;M;BR;RO;Familia;32.7;Bronze
436;27;F;BR;MG;Familia;20.35;Bronze
437;59;M;AR;PB;Amigos;28.85;Bronze
438;36;F;BR;MT;Familia;15.84;Ouro
439;67;F;BR;PB;Amigos;30.97;Bronze
440;44;F;BR;PB;Familia;11.27;Bronze
441;45;M;BR;MG;Familia;29.52;Ouro
442;27;M;BR;MA;Casal;6.81;Ouro
443;52;M;AR;BA;Familia;3.64;Prata
444;30;M;BR;CE;Casal;33.93;Prata
445;36;F;BR;AC;Familia;29.69;Ouro
446;76;F;BR;CE;Casal;27.98;Bronze
447;34;F;AR;ES;Amigos;36.13;Bronze
448;72;M;AR;RN;Familia;21.7;Prata
449;27;M;CL;RO;Sozinho;17.59;Prata
450;21;M;BR;ES;Casal;50.5;Bronze
451;22;F;BR;SC;Familia;10.82;Bronze
452;27;F;BR;DF;Sozinho;14.92;Bronze
453;40;M;BR;SE;Familia;44.27;Bronze
454;78;F;CL;MT;Sozinho;27.5;Bronze
455;33;M;BR;MS;Sozinho;21.69;Bronze
456;73;M;PE;TO;Casal;13.72;Bronze
457;58;M;BR;RR;Amigos;37.61;Bronze
458;49;M;BR;DF;Sozinho;3.51;Bronze
459;27;M;BR;AL;Casal;29.93;Bronze
460;78;F;BR;AM;Familia;7.97;Bronze
461;79;F;BR;MA;Familia;51.87;Bronze
462;45;F;BR;RJ;Sozinho;12.18;Prata
463;62;F;BR;SC;Amigos;14.95;Bronze
464;25;F;US;DF;Familia;9.93;Prata
465;36;M;BR;MA;Familia;24.42;Prata
466;49;M;CL;PB;Casal;52.27;Bronze
467;72;M;BR;PA;Casal;6.37;Bronze
468;43;F;CL;MS;Amigos;57.53;Prata
469;68;F;BR;RS;Sozinho;23.57;Prata
470;50;F;BR;PB;Casal;12.9;Bronze
471;56;M;BR;AC;Casal;10.54;Ouro
472;78;M;AR;PB;Casal;15.4;Ouro
473;68;F;BR;RN;Casal;9.6;Bronze
474;26;M;BR;PI;Familia;25.12;Prata
475;74;F;CL;MG;Sozinho;31.74;Prata
476;25;F;PE;RR;Sozinho;42.79;Prata
477;56;M;BR;TO;Familia;23.97;Bronze
478;26;F;BR;SE;Casal;15.81;Bronze
479;72;M;PT;BA;Amigos;17.65;Bronze
480;74;M;US;PR;Sozinho;24.11;Bronze
481;55;M;BR;RS;Casal;5.92;Bronze
482;32;F;BR;PA;Familia;20.92;Bronze
483;76;F;BR;RS;Amigos;11.51;Ouro
484;77;F;BR;MG;Familia;21.25;Bronze
485;38;F;BR;MG;Casal;23.27;Bronze
486;30;F;BR;RJ;Casal;11.87;Bronze
487;31;M;BR;SP;Familia;15.9;Bronze
488;53;F;PE;RS;Familia;29.96;Prata
489;49;M;BR;BA;Familia;19.17;Bronze
490;41;F;AR;AL;Casal;14.41;Prata
491;38;F;BR;MG;Sozinho;42.83;Bronze
492;56;M;BR;GO;Amigos;68.1;Bronze
493;76;M;BR;MA;Sozinho;15.85;Bronze
494;64;M;BR;PE;Familia;55.37;Bronze
495;60;M;BR;MT;Casal;23.73;Bronze
496;59;M;BR;ES;Casal;11.13;Bronze
497;50;F;BR;SC;Casal;43.71;Ouro
498;35;F;BR;ES;Sozinho;26.85;Bronze
499;37;F;BR;DF;Casal;14.18;Bronze
500;69;M;BR;MS;Sozinho;22.37;Bronze
501;29;F;CL;BA;Sozinho;19.62;Bronze
502;60;M;BR;RR;Familia;10.81;Bronze
503;77;F;BR;PR;Sozinho;34.2;Bronze
504;33;F;BR;PR;Casal;45.54;Bronze
505;62;M;AR;ES;Casal;13.26;Ouro
506;36;M;BR;PR;Sozinho;54.34;Bronze
507;59;M;BR;AC;Familia;20.42;Bronze
508;50;M;BR;SC;Casal;47.23;Bronze
509;55;M;BR;MA;Familia;61.68;Bronze
510;59;M;BR;RO;Familia;33.53;Prata
511;24;M;BR;RO;Sozinho;9.2;Prata
512;47;F;BR;SE;Familia;15.76;Prata
513;22;F;BR;RS;Casal;61.87;Bronze
514;72;F;BR;PA;Familia;9.4;Bronze
515;50;M;BR;BA;Sozinho;25.69;Ouro
516;75;M;BR;RO;Sozinho;56.51;Bronze
517;38;F;CO;AM;Casal;24.74;Prata
518;68;M;BR;BA;Sozinho;34.13;Ouro
519;19;F;BR;MG;Casal;37.36;Prata
520;39;F;BR;AP;Sozinho;32.77;Prata
521;78;M;CL;MA;Sozinho;20.09;Bronze
522;26;M;BR;RS;Casal;26.82;Bronze
523;27;F;BR;GO;Sozinho;13.46;Prata
524;42;M;BR;AL;Sozinho;6.36;Bronze
525;33;F;BR;MT;Sozinho;31.61;Bronze
526;52;M;BR;PR;Amigos;54.56;Ouro
527;68;F;BR;MT;Familia;17.82;Bronze
528;57;F;BR;AP;Casal;47.0;Prata
529;37;M;BR;PR;Amigos;17.84;Bronze
530;56;F;BR;PI;Amigos;20.05;Bronze
531;31;F;BR;MG;Amigos;30.48;Bronze
532;40;F;BR;PB;Sozinho;13.2;Prata
533;79;M;BR;PA;Sozinho;11.27;Bronze
534;79;F;US;PR;Familia;21.64;Bronze
535;46;F;BR;PE;Casal;18.43;Bronze
536;76;F;BR;SE;Familia;16.92;Bronze
537;61;M;BR;AM;Casal;22.65;Prata
538;47;F;BR;RO;Familia;10.55;Prata
539;77;F;BR;DF;Casal;12.13;Ouro
540;77;M;BR;RS;Casal;30.76;Prata
541;62;M;BR;MG;Casal;29.48;Bronze
542;20;M;BR;ES;Sozinho;13.94;Bronze
543;30;M;PE;GO;Sozinho;9.25;Bronze
544;35;M;AR;MS;Casal;52.27;Bronze
545;64;F;BR;AC;Familia;21.14;Ouro
546;58;F;BR;CE;Casal;17.33;Bronze
547;49;M;AR;MA;Familia;13.97;Bronze
