ID_Clima;Date;Estado;Temperatura_Media;Condicao_Climatica;Feriado_Proximo
MA_20230105;2023-01-05;MA;32.2;Sol;False
MT_20230105;2023-01-05;MT;27.9;Chuva;False
MS_20230105;2023-01-05;MS;29.8;Sol;False
MG_20230105;2023-01-05;MG;27.3;Parcialmente Nublado;False
PA_20230105;2023-01-05;PA;30.9;Nublado;False
PB_20230105;2023-01-05;PB;27.0;Sol;False
PR_20230105;2023-01-05;PR;24.5;Sol;False
PE_20230105;2023-01-05;PE;29.8;Parcialmente Nublado;False
PI_20230105;2023-01-05;PI;26.5;Sol;False
RJ_20230105;2023-01-05;RJ;27.3;Parcialmente Nublado;False
RN_20230105;2023-01-05;RN;28.7;Parcialmente Nublado;False
AC_20230106;2023-01-06;AC;26.4;Sol;False
AL_20230106;2023-01-06;AL;27.9;Nublado;False
AP_20230106;2023-01-06;AP;30.6;Sol;False
AM_20230106;2023-01-06;AM;31.1;Chuva;False
BA_20230106;2023-01-06;BA;32.2;Sol;False
CE_20230106;2023-01-06;CE;34.5;Parcialmente Nublado;False
DF_20230106;2023-01-06;DF;28.8;Chuva;False
ES_20230106;2023-01-06;ES;20.6;Chuva;False
GO_20230106;2023-01-06;GO;32.4;Sol;False
MA_20230106;2023-01-06;MA;31.3;Chuva;False
MT_20230106;2023-01-06;MT;31.8;Nublado;False
MS_20230106;2023-01-06;MS;26.9;Nublado;False
MG_20230106;2023-01-06;MG;32.1;Sol;False
PA_20230106;2023-01-06;PA;34.1;Sol;False
PB_20230106;2023-01-06;PB;26.4;Parcialmente Nublado;False
PR_20230106;2023-01-06;PR;29.5;Parcialmente Nublado;False
PE_20230106;2023-01-06;PE;26.0;Chuva;False
PI_20230106;2023-01-06;PI;26.9;Chuva;False
RJ_20230106;2023-01-06;RJ;24.8;Sol;False
RN_20230106;2023-01-06;RN;28.0;Sol;False
AC_20230107;2023-01-07;AC;27.0;Chuva;False
AL_20230107;2023-01-07;AL;25.7;Sol;False
AP_20230107;2023-01-07;AP;26.1;Nublado;False
AM_20230107;2023-01-07;AM;28.9;Chuva;False
BA_20230107;2023-01-07;BA;30.3;Sol;False
CE_20230107;2023-01-07;CE;30.0;Parcialmente Nublado;False
DF_20230107;2023-01-07;DF;29.8;Sol;False
ES_20230107;2023-01-07;ES;25.2;Parcialmente Nublado;False
GO_20230107;2023-01-07;GO;27.9;Sol;False
MA_20230107;2023-01-07;MA;29.2;Chuva;False
MT_20230107;2023-01-07;MT;24.1;Sol;False
MS_20230107;2023-01-07;MS;28.5;Sol;False
MG_20230107;2023-01-07;MG;30.5;Sol;False
PA_20230107;2023-01-07;PA;26.9;Nublado;False
PB_20230107;2023-01-07;PB;29.7;Tempestade;False
PR_20230107;2023-01-07;PR;23.5;Sol;False
PE_20230107;2023-01-07;PE;34.1;Sol;False
PI_20230107;2023-01-07;PI;22.0;Sol;False
RJ_20230107;2023-01-07;RJ;24.8;Chuva;False
RN_20230107;2023-01-07;RN;28.6;Nublado;False
AC_20230108;2023-01-08;AC;28.0;Sol;False
AL_20230108;2023-01-08;AL;22.8;Sol;False
AP_20230108;2023-01-08;AP;26.7;Sol;False
AM_20230108;2023-01-08;AM;36.3;Parcialmente Nublado;False
BA_20230108;2023-01-08;BA;29.9;Sol;False
CE_20230108;2023-01-08;CE;33.2;Parcialmente Nublado;False
DF_20230108;2023-01-08;DF;27.9;Chuva;False
ES_20230108;2023-01-08;ES;28.5;Chuva;False
GO_20230108;2023-01-08;GO;25.6;Parcialmente Nublado;False
MA_20230108;2023-01-08;MA;32.8;Chuva;False
MT_20230108;2023-01-08;MT;27.8;Nublado;False
MS_20230108;2023-01-08;MS;23.8;Parcialmente Nublado;False
MG_20230108;2023-01-08;MG;26.1;Sol;False
PA_20230108;2023-01-08;PA;27.5;Nublado;False
PB_20230108;2023-01-08;PB;29.4;Sol;False
PR_20230108;2023-01-08;PR;22.5;Sol;False
PE_20230108;2023-01-08;PE;33.0;Nublado;False
PI_20230108;2023-01-08;PI;32.4;Sol;False
RJ_20230108;2023-01-08;RJ;24.5;Parcialmente Nublado;False
RN_20230108;2023-01-08;RN;28.5;Tempestade;False
AC_20230109;2023-01-09;AC;27.3;Sol;False
AL_20230109;2023-01-09;AL;20.0;Chuva;False
AP_20230109;2023-01-09;AP;31.7;Sol;False
AM_20230109;2023-01-09;AM;28.1;Chuva;False
BA_20230109;2023-01-09;BA;35.9;Parcialmente Nublado;False
CE_20230109;2023-01-09;CE;30.3;Sol;False
DF_20230109;2023-01-09;DF;29.9;Sol;False
ES_20230109;2023-01-09;ES;24.2;Sol;False
GO_20230109;2023-01-09;GO;31.6;Sol;False
MA_20230109;2023-01-09;MA;31.5;Sol;False
MT_20230109;2023-01-09;MT;25.8;Chuva;False
MS_20230109;2023-01-09;MS;30.1;Parcialmente Nublado;False
MG_20230109;2023-01-09;MG;30.9;Nublado;False
PA_20230109;2023-01-09;PA;35.1;Parcialmente Nublado;False
PB_20230109;2023-01-09;PB;29.5;Parcialmente Nublado;False
PR_20230109;2023-01-09;PR;23.2;Sol;False
PE_20230109;2023-01-09;PE;29.6;Chuva;False
PI_20230109;2023-01-09;PI;23.1;Sol;False
RJ_20230109;2023-01-09;RJ;22.3;Parcialmente Nublado;False
RN_20230109;2023-01-09;RN;28.7;Sol;False
AC_20230110;2023-01-10;AC;27.4;Nublado;False
AL_20230110;2023-01-10;AL;26.2;Sol;False
AP_20230110;2023-01-10;AP;21.9;Sol;False
AM_20230110;2023-01-10;AM;33.6;Parcialmente Nublado;False
BA_20230110;2023-01-10;BA;30.6;Parcialmente Nublado;False
CE_20230110;2023-01-10;CE;35.1;Nublado;False
DF_20230110;2023-01-10;DF;30.5;Nublado;False
ES_20230110;2023-01-10;ES;29.4;Sol;False
GO_20230110;2023-01-10;GO;32.7;Chuva;False
MA_20230110;2023-01-10;MA;29.9;Chuva;False
MT_20230110;2023-01-10;MT;20.3;Sol;False
MS_20230110;2023-01-10;MS;27.0;Nublado;False
MG_20230110;2023-01-10;MG;28.1;Nublado;False
PA_20230110;2023-01-10;PA;30.8;Tempestade;False
PB_20230110;2023-01-10;PB;29.4;Chuva;False
PR_20230110;2023-01-10;PR;28.0;Sol;False
PE_20230110;2023-01-10;PE;32.2;Chuva;False
PI_20230110;2023-01-10;PI;31.6;Chuva;False
RJ_20230110;2023-01-10;RJ;24.4;Chuva;False
RN_20230110;2023-01-10;RN;26.2;Sol;False
AC_20230111;2023-01-11;AC;22.6;Tempestade;False
AL_20230111;2023-01-11;AL;25.1;Parcialmente Nublado;False
AP_20230111;2023-01-11;AP;29.2;Parcialmente Nublado;False
AM_20230111;2023-01-11;AM;33.8;Chuva;False
BA_20230111;2023-01-11;BA;32.4;Sol;False
CE_20230111;2023-01-11;CE;34.5;Tempestade;False
DF_20230111;2023-01-11;DF;30.7;Sol;False
ES_20230111;2023-01-11;ES;27.5;Sol;False
GO_20230111;2023-01-11;GO;25.1;Sol;False
MA_20230111;2023-01-11;MA;32.3;Sol;False
MT_20230111;2023-01-11;MT;19.5;Sol;False
MS_20230111;2023-01-11;MS;27.0;Sol;False
MG_20230111;2023-01-11;MG;33.4;Chuva;False
PA_20230111;2023-01-11;PA;32.8;Chuva;False
PB_20230111;2023-01-11;PB;28.9;Nublado;False
PR_20230111;2023-01-11;PR;27.6;Parcialmente Nublado;False
PE_20230111;2023-01-11;PE;30.8;Chuva;False
PI_20230111;2023-01-11;PI;25.0;Parcialmente Nublado;False
RJ_20230111;2023-01-11;RJ;22.0;Parcialmente Nublado;False
RN_20230111;2023-01-11;RN;24.4;Sol;False
AC_20230112;2023-01-12;AC;28.8;Sol;False
AL_20230112;2023-01-12;AL;29.9;Parcialmente Nublado;False
AP_20230112;2023-01-12;AP;28.7;Parcialmente Nublado;False
AM_20230112;2023-01-12;AM;35.2;Nublado;False
BA_20230112;2023-01-12;BA;30.9;Nublado;False
CE_20230112;2023-01-12;CE;32.5;Chuva;False
DF_20230112;2023-01-12;DF;27.2;Chuva;False
ES_20230112;2023-01-12;ES;27.8;Chuva;False
GO_20230112;2023-01-12;GO;27.6;Parcialmente Nublado;False
MA_20230112;2023-01-12;MA;25.7;Tempestade;False
MT_20230112;2023-01-12;MT;28.8;Chuva;False
MS_20230112;2023-01-12;MS;22.3;Chuva;False
MG_20230112;2023-01-12;MG;26.1;Parcialmente Nublado;False
PA_20230112;2023-01-12;PA;30.6;Parcialmente Nublado;False
PB_20230112;2023-01-12;PB;29.6;Chuva;False
PR_20230112;2023-01-12;PR;25.3;Nublado;False
PE_20230112;2023-01-12;PE;35.6;Sol;False
PI_20230112;2023-01-12;PI;24.9;Nublado;False
RJ_20230112;2023-01-12;RJ;30.8;Sol;False
RN_20230112;2023-01-12;RN;28.8;Tempestade;False
AC_20230113;2023-01-13;AC;31.7;Sol;False
AL_20230113;2023-01-13;AL;28.5;Chuva;False
AP_20230113;2023-01-13;AP;28.5;Parcialmente Nublado;False
AM_20230113;2023-01-13;AM;27.7;Sol;False
BA_20230113;2023-01-13;BA;29.9;Parcialmente Nublado;False
CE_20230113;2023-01-13;CE;32.3;Sol;False
DF_20230113;2023-01-13;DF;24.7;Parcialmente Nublado;False
ES_20230113;2023-01-13;ES;24.4;Sol;False
GO_20230113;2023-01-13;GO;34.0;Tempestade;False
MA_20230113;2023-01-13;MA;28.8;Parcialmente Nublado;False
MT_20230113;2023-01-13;MT;28.6;Chuva;False
MS_20230113;2023-01-13;MS;27.9;Parcialmente Nublado;False
MG_20230113;2023-01-13;MG;31.5;Sol;False
PA_20230113;2023-01-13;PA;37.0;Parcialmente Nublado;False
PB_20230113;2023-01-13;PB;25.6;Parcialmente Nublado;False
PR_20230113;2023-01-13;PR;25.8;Chuva;False
PE_20230113;2023-01-13;PE;25.3;Sol;False
PI_20230113;2023-01-13;PI;25.4;Sol;False
RJ_20230113;2023-01-13;RJ;21.1;Parcialmente Nublado;False
RN_20230113;2023-01-13;RN;28.8;Sol;False
AC_20230114;2023-01-14;AC;29.3;Nublado;False
AL_20230114;2023-01-14;AL;21.6;Sol;False
AP_20230114;2023-01-14;AP;26.8;Nublado;False
AM_20230114;2023-01-14;AM;26.9;Nublado;False
BA_20230114;2023-01-14;BA;28.3;Chuva;False
CE_20230114;2023-01-14;CE;29.9;Chuva;False
DF_20230114;2023-01-14;DF;29.4;Sol;False
ES_20230114;2023-01-14;ES;26.2;Sol;False
GO_20230114;2023-01-14;GO;23.7;Sol;False
MA_20230114;2023-01-14;MA;24.0;Parcialmente Nublado;False
MT_20230114;2023-01-14;MT;24.0;Parcialmente Nublado;False
MS_20230114;2023-01-14;MS;26.1;Parcialmente Nublado;False
MG_20230114;2023-01-14;MG;19.9;Chuva;False
PA_20230114;2023-01-14;PA;26.7;Tempestade;False
PB_20230114;2023-01-14;PB;25.5;Sol;False
PR_20230114;2023-01-14;PR;25.8;Sol;False
PE_20230114;2023-01-14;PE;31.3;Parcialmente Nublado;False
PI_20230114;2023-01-14;PI;24.9;Chuva;False
RJ_20230114;2023-01-14;RJ;23.1;Chuva;False
RN_20230114;2023-01-14;RN;28.0;Tempestade;False
AC_20230115;2023-01-15;AC;32.1;Tempestade;False
AL_20230115;2023-01-15;AL;29.3;Sol;False
AP_20230115;2023-01-15;AP;25.8;Sol;False
AM_20230115;2023-01-15;AM;32.5;Chuva;False
BA_20230115;2023-01-15;BA;28.6;Parcialmente Nublado;False
CE_20230115;2023-01-15;CE;31.9;Chuva;False
DF_20230115;2023-01-15;DF;29.6;Sol;False
ES_20230115;2023-01-15;ES;26.9;Sol;False
GO_20230115;2023-01-15;GO;28.4;Sol;False
MA_20230115;2023-01-15;MA;24.6;Sol;False
MT_20230115;2023-01-15;MT;24.2;Chuva;False
MS_20230115;2023-01-15;MS;31.9;Tempestade;False
MG_20230115;2023-01-15;MG;26.2;Sol;False
PA_20230115;2023-01-15;PA;31.4;Chuva;False
PB_20230115;2023-01-15;PB;25.7;Sol;False
PR_20230115;2023-01-15;PR;26.3;Sol;False
PE_20230115;2023-01-15;PE;33.8;Parcialmente Nublado;False
PI_20230115;2023-01-15;PI;25.4;Sol;False
RJ_20230115;2023-01-15;RJ;22.7;Chuva;False
RN_20230115;2023-01-15;RN;26.7;Chuva;False
AC_20230116;2023-01-16;AC;26.2;Nublado;False
AL_20230116;2023-01-16;AL;23.2;Sol;False
AP_20230116;2023-01-16;AP;23.0;Chuva;False
AM_20230116;2023-01-16;AM;35.7;Sol;False
BA_20230116;2023-01-16;BA;29.8;Sol;False
CE_20230116;2023-01-16;CE;32.1;Tempestade;False
DF_20230116;2023-01-16;DF;29.2;Sol;False
ES_20230116;2023-01-16;ES;31.9;Parcialmente Nublado;False
GO_20230116;2023-01-16;GO;25.2;Sol;False
MA_20230116;2023-01-16;MA;30.5;Sol;False
MT_20230116;2023-01-16;MT;29.9;Chuva;False
MS_20230116;2023-01-16;MS;27.1;Sol;False
MG_20230116;2023-01-16;MG;24.3;Parcialmente Nublado;False
PA_20230116;2023-01-16;PA;32.2;Sol;False
PB_20230116;2023-01-16;PB;29.6;Tempestade;False
PR_20230116;2023-01-16;PR;25.8;Parcialmente Nublado;False
PE_20230116;2023-01-16;PE;28.6;Nublado;False
PI_20230116;2023-01-16;PI;27.7;Sol;False
RJ_20230116;2023-01-16;RJ;22.3;Sol;False
RN_20230116;2023-01-16;RN;24.7;Parcialmente Nublado;False
AC_20230117;2023-01-17;AC;26.8;Parcialmente Nublado;False
AL_20230117;2023-01-17;AL;27.4;Sol;False
AP_20230117;2023-01-17;AP;30.6;Parcialmente Nublado;False
AM_20230117;2023-01-17;AM;33.8;Parcialmente Nublado;False
BA_20230117;2023-01-17;BA;29.3;Parcialmente Nublado;False
CE_20230117;2023-01-17;CE;25.1;Parcialmente Nublado;False
DF_20230117;2023-01-17;DF;28.8;Parcialmente Nublado;False
ES_20230117;2023-01-17;ES;25.5;Parcialmente Nublado;False
GO_20230117;2023-01-17;GO;24.5;Chuva;False
MA_20230117;2023-01-17;MA;34.0;Chuva;False
MT_20230117;2023-01-17;MT;24.9;Chuva;False
MS_20230117;2023-01-17;MS;28.3;Nublado;False
MG_20230117;2023-01-17;MG;26.5;Sol;False
PA_20230117;2023-01-17;PA;34.2;Parcialmente Nublado;False
PB_20230117;2023-01-17;PB;27.3;Sol;False
PR_20230117;2023-01-17;PR;26.1;Sol;False
PE_20230117;2023-01-17;PE;30.2;Sol;False
PI_20230117;2023-01-17;PI;29.5;Chuva;False
RJ_20230117;2023-01-17;RJ;25.2;Chuva;False
RN_20230117;2023-01-17;RN;24.7;Parcialmente Nublado;False
AC_20230118;2023-01-18;AC;30.4;Sol;False
AL_20230118;2023-01-18;AL;27.3;Sol;False
AP_20230118;2023-01-18;AP;30.6;Tempestade;False
AM_20230118;2023-01-18;AM;30.1;Parcialmente Nublado;False
BA_20230118;2023-01-18;BA;29.9;Sol;False
CE_20230118;2023-01-18;CE;32.9;Chuva;False
DF_20230118;2023-01-18;DF;22.0;Parcialmente Nublado;False
ES_20230118;2023-01-18;ES;23.8;Chuva;False
GO_20230118;2023-01-18;GO;28.0;Nublado;False
MA_20230118;2023-01-18;MA;30.3;Sol;False
MT_20230118;2023-01-18;MT;26.1;Nublado;False
MS_20230118;2023-01-18;MS;28.2;Sol;False
MG_20230118;2023-01-18;MG;31.2;Nublado;False
PA_20230118;2023-01-18;PA;33.6;Chuva;False
PB_20230118;2023-01-18;PB;31.0;Chuva;False
PR_20230118;2023-01-18;PR;22.4;Sol;False
PE_20230118;2023-01-18;PE;27.4;Parcialmente Nublado;False
PI_20230118;2023-01-18;PI;28.0;Parcialmente Nublado;False
RJ_20230118;2023-01-18;RJ;21.4;Sol;False
RN_20230118;2023-01-18;RN;27.4;Sol;False
AC_20230119;2023-01-19;AC;27.8;Sol;False
AL_20230119;2023-01-19;AL;21.0;Sol;False
AP_20230119;2023-01-19;AP;27.6;Parcialmente Nublado;False
AM_20230119;2023-01-19;AM;37.1;Tempestade;False
BA_20230119;2023-01-19;BA;29.5;Chuva;False
CE_20230119;2023-01-19;CE;31.0;Sol;False
DF_20230119;2023-01-19;DF;23.7;Nublado;False
ES_20230119;2023-01-19;ES;17.6;Chuva;False
GO_20230119;2023-01-19;GO;26.0;Sol;False
MA_20230119;2023-01-19;MA;31.5;Chuva;False
MT_20230119;2023-01-19;MT;27.9;Sol;False
MS_20230119;2023-01-19;MS;23.2;Parcialmente Nublado;False
MG_20230119;2023-01-19;MG;27.6;Chuva;False
PA_20230119;2023-01-19;PA;29.7;Sol;False
PB_20230119;2023-01-19;PB;26.9;Chuva;False
PR_20230119;2023-01-19;PR;24.4;Sol;False
PE_20230119;2023-01-19;PE;30.1;Nublado;False
PI_20230119;2023-01-19;PI;26.7;Tempestade;False
RJ_20230119;2023-01-19;RJ;23.2;Sol;False
RN_20230119;2023-01-19;RN;32.4;Sol;False
AC_20230120;2023-01-20;AC;25.8;Nublado;False
AL_20230120;2023-01-20;AL;24.9;Sol;False
AP_20230120;2023-01-20;AP;28.7;Parcialmente Nublado;False
AM_20230120;2023-01-20;AM;32.9;Sol;False
BA_20230120;2023-01-20;BA;32.0;Parcialmente Nublado;False
CE_20230120;2023-01-20;CE;32.0;Sol;False
DF_20230120;2023-01-20;DF;26.3;Parcialmente Nublado;False
ES_20230120;2023-01-20;ES;26.8;Sol;False
GO_20230120;2023-01-20;GO;27.6;Parcialmente Nublado;False
MA_20230120;2023-01-20;MA;31.2;Nublado;False
MT_20230120;2023-01-20;MT;28.7;Sol;False
MS_20230120;2023-01-20;MS;30.5;Parcialmente Nublado;False
MG_20230120;2023-01-20;MG;27.8;Parcialmente Nublado;False
PA_20230120;2023-01-20;PA;29.2;Chuva;False
PB_20230120;2023-01-20;PB;26.4;Sol;False
PR_20230120;2023-01-20;PR;30.2;Sol;False
PE_20230120;2023-01-20;PE;32.0;Sol;False
PI_20230120;2023-01-20;PI;21.0;Parcialmente Nublado;False
RJ_20230120;2023-01-20;RJ;24.0;Sol;False
RN_20230120;2023-01-20;RN;28.7;Chuva;False
AC_20230121;2023-01-21;AC;21.8;Parcialmente Nublado;False
AL_20230121;2023-01-21;AL;24.4;Nublado;False
AP_20230121;2023-01-21;AP;25.0;Parcialmente Nublado;False
AM_20230121;2023-01-21;AM;30.3;Sol;False
BA_20230121;2023-01-21;BA;31.3;Chuva;False
CE_20230121;2023-01-21;CE;33.6;Tempestade;False
DF_20230121;2023-01-21;DF;30.7;Sol;False
ES_20230121;2023-01-21;ES;26.2;Parcialmente Nublado;False
GO_20230121;2023-01-21;GO;24.8;Chuva;False
MA_20230121;2023-01-21;MA;38.3;Chuva;False
MT_20230121;2023-01-21;MT;23.6;Nublado;False
MS_20230121;2023-01-21;MS;26.6;Chuva;False
MG_20230121;2023-01-21;MG;25.5;Nublado;False
PA_20230121;2023-01-21;PA;23.9;Chuva;False
PB_20230121;2023-01-21;PB;24.0;Chuva;False
PR_20230121;2023-01-21;PR;22.6;Parcialmente Nublado;False
PE_20230121;2023-01-21;PE;32.3;Tempestade;False
PI_20230121;2023-01-21;PI;25.1;Nublado;False
RJ_20230121;2023-01-21;RJ;26.5;Sol;False
RN_20230121;2023-01-21;RN;31.3;Sol;False
AC_20230122;2023-01-22;AC;29.2;Chuva;False
AL_20230122;2023-01-22;AL;29.4;Sol;False
AP_20230122;2023-01-22;AP;23.9;Sol;False
AM_20230122;2023-01-22;AM;30.1;Nublado;False
BA_20230122;2023-01-22;BA;30.7;Chuva;False
CE_20230122;2023-01-22;CE;31.9;Chuva;False
DF_20230122;2023-01-22;DF;30.2;Sol;False
ES_20230122;2023-01-22;ES;28.0;Nublado;False
GO_20230122;2023-01-22;GO;25.2;Sol;False
MA_20230122;2023-01-22;MA;35.3;Chuva;False
MT_20230122;2023-01-22;MT;25.2;Chuva;False
MS_20230122;2023-01-22;MS;24.6;Nublado;False
MG_20230122;2023-01-22;MG;26.5;Nublado;False
PA_20230122;2023-01-22;PA;32.2;Parcialmente Nublado;False
PB_20230122;2023-01-22;PB;28.2;Chuva;False
PR_20230122;2023-01-22;PR;23.7;Chuva;False
PE_20230122;2023-01-22;PE;31.6;Nublado;False
PI_20230122;2023-01-22;PI;29.2;Sol;False
RJ_20230122;2023-01-22;RJ;21.3;Parcialmente Nublado;False
RN_20230122;2023-01-22;RN;27.3;Sol;False
AC_20230123;2023-01-23;AC;25.8;Chuva;False
AL_20230123;2023-01-23;AL;32.4;Sol;False
AP_20230123;2023-01-23;AP;24.8;Nublado;False
AM_20230123;2023-01-23;AM;25.2;Tempestade;False
BA_20230123;2023-01-23;BA;28.1;Parcialmente Nublado;False
CE_20230123;2023-01-23;CE;29.2;Parcialmente Nublado;False
DF_20230123;2023-01-23;DF;22.0;Sol;False
ES_20230123;2023-01-23;ES;19.0;Sol;False
GO_20230123;2023-01-23;GO;30.6;Sol;False
MA_20230123;2023-01-23;MA;28.2;Parcialmente Nublado;False
MT_20230123;2023-01-23;MT;28.6;Sol;False
MS_20230123;2023-01-23;MS;27.7;Chuva;False
MG_20230123;2023-01-23;MG;28.9;Sol;False
PA_20230123;2023-01-23;PA;33.2;Nublado;False
PB_20230123;2023-01-23;PB;27.4;Sol;False
PR_20230123;2023-01-23;PR;25.2;Parcialmente Nublado;False
PE_20230123;2023-01-23;PE;30.3;Sol;False
PI_20230123;2023-01-23;PI;27.9;Sol;False
RJ_20230123;2023-01-23;RJ;24.3;Sol;False
RN_20230123;2023-01-23;RN;22.3;Chuva;False
AC_20230124;2023-01-24;AC;29.4;Parcialmente Nublado;False
AL_20230124;2023-01-24;AL;28.9;Sol;False
AP_20230124;2023-01-24;AP;30.8;Nublado;False
AM_20230124;2023-01-24;AM;34.1;Chuva;False
BA_20230124;2023-01-24;BA;37.2;Sol;False
CE_20230124;2023-01-24;CE;29.8;Nublado;False
DF_20230124;2023-01-24;DF;25.8;Chuva;False
ES_20230124;2023-01-24;ES;25.2;Chuva;False
GO_20230124;2023-01-24;GO;22.6;Sol;False
MA_20230124;2023-01-24;MA;28.2;Chuva;False
MT_20230124;2023-01-24;MT;25.8;Parcialmente Nublado;False
MS_20230124;2023-01-24;MS;29.2;Nublado;False
MG_20230124;2023-01-24;MG;21.5;Chuva;False
PA_20230124;2023-01-24;PA;32.2;Parcialmente Nublado;False
PB_20230124;2023-01-24;PB;29.3;Parcialmente Nublado;False
PR_20230124;2023-01-24;PR;23.0;Tempestade;False
PE_20230124;2023-01-24;PE;30.4;Chuva;False
